Name,Population
Changhua County,1280038
Chiayi City,269239
Chiayi County,509677
Hsinchu City,442570
Hsinchu County,	553250
Hualien County,	328683
Kaohsiung City,	2775318
Keelung City,	371099
Kinmen County,	137730
Lienchiang County,12958
Miaoli County,	551791
Nantou County,	499879
New Taipei City,	3985915
Penghu County,	104121
Pingtung County,	828524
Taichung City,	2793005
Tainan City,	1885478
Taipei City,	2678695
Taitung County,	219628
Taoyuan City,	2198830
Yilan County,	456066
Yunlin County,	689003
